CooldownDays,Label,Return,MDD,WinRate,Trades,AvgHoldingDays,AvgWin,AvgLoss,RepeatLossStocks,Sharpe
0,없음,18096.71994958974,-63.87848088309601,67.31634182908546,1334,26.553973013493252,8.775131462558784,-11.174393321858178,94,283.29915958252894
10,10일,18096.71994958974,-63.87848088309601,67.31634182908546,1334,26.553973013493252,8.775131462558784,-11.174393321858178,94,283.29915958252894
20,20일,17878.282837211977,-63.878709729110625,67.31634182908546,1334,26.54647676161919,8.768213749785794,-11.174393321858174,94,279.878584164084
30,30일,19542.85083578159,-63.878709729110625,67.4644727000748,1337,26.469708302169035,8.762459519592303,-11.169992968658004,94,305.93684372550155
40,40일,20514.433828190267,-63.87565429237401,67.56352765321375,1338,26.433482810164424,8.77116006634123,-11.191932972598703,94,321.162014784081
60,60일,25799.603194417774,-56.52129435898533,67.46268656716417,1340,26.32089552238806,8.723216344758148,-10.87648541160526,97,456.4581099391675
90,90일,13608.118440090424,-64.6670042324456,67.44712990936556,1324,26.63368580060423,8.64231423502303,-11.268659812630377,101,210.4337227556735
120,120일,6963.055928114638,-65.69042936034838,66.6157372039725,1309,26.898395721925134,8.625998815697905,-11.411823235369722,103,105.99802735217973
180,180일,4154.002126039983,-58.662265829522156,65.99535243996901,1291,27.112316034082106,8.440391211787544,-11.229980422481539,101,70.8121663440667
