CooldownDays,Label,AvgYearlyReturn,TotalReturn,WinRate,Trades,AvgHoldingDays,AvgWin,AvgLoss,RepeatLossStocks,Years
0,없음,33.28503967406651,18063.545119031904,67.31634182908546,1334,26.557721139430285,8.774160055055498,-11.17439307281469,94,22
10,10일,33.28503967406651,18063.545119031904,67.31634182908546,1334,26.557721139430285,8.774160055055498,-11.17439307281469,94,22
20,20일,33.215948791414284,17846.52967208262,67.31634182908546,1334,26.550224887556222,8.767242355989278,-11.174393072814691,94,22
30,30일,33.75369769804238,19508.691226762086,67.4644727000748,1337,26.473448017950634,8.761492438340039,-11.169992719042002,94,22
40,40일,34.216513409380205,20480.351880695267,67.56352765321375,1338,26.437219730941703,8.770195133568656,-11.191932745177613,94,22
60,60일,35.145096428348396,25701.771368326416,67.48695003728561,1341,26.307979120059656,8.706890094090413,-10.868764764966473,98,22
90,90일,32.67309850007208,13585.864125152078,67.44712990936556,1324,26.637462235649547,8.641337493530026,-11.268659961362868,101,22
120,120일,28.71330017507429,6963.055915440209,66.6157372039725,1309,26.898395721925134,8.625998507659123,-11.41182331882384,103,22
180,180일,25.133320294052954,4154.017762215067,65.99535243996901,1291,27.112316034082106,8.440391211027226,-11.229980506440578,101,22
